,name,synonyms
23,"Antihemophilic factor, human recombinant","['Antihemophilic factor (recombinant)', 'Antihemophilic factor recombinant', 'Antihemophilic factor, human recombinant', 'Antihemophilic factor, recombinant', 'Coagulation factor VIII, recombinant', 'Factor VIII (rDNA)', 'Factor VIII (Recombinant)', 'Factor VIII recombin', 'Factor VIII, recombinant', 'Human Factor VIII (Recombinant)', 'Human factor VIII recombinant', 'Octocog alfa', 'rAHF', 'Recombinant antihemophilic factor VIII']"
24,Anakinra,"['Anakinra', 'IL-1RA', 'Interleukin-1 receptor antagonist anakinra']"
25,Gramicidin D,"['Bacillus brevis gramicidin D', 'Gramicidin', 'Gramicidin A', 'Gramicidin B', 'Gramicidin C', 'Gramicidina', 'Gramicidine']"
26,Human immunoglobulin G,"['Human IGG', 'Human immunoglobulin G', 'Human normal immunoglobulin', 'Immune globulin (human)', 'Immune globulin human', 'Immunoglobulin (human)', 'Immunoglobulin G (human)', 'Immunoglobulin G, human', 'IVIg']"
27,Anistreplase,"['Anisoylated plasminogen streptokinase activator complex', 'Anistreplase', 'APSAC']"
28,Insulin human,"['High molecular weight insulin human', 'Human insulin', 'human insulin (rDNA)', 'Insulin (human)', 'Insulin human', 'Insulin human [rDNA origin]', 'Insulin Human Regular', 'Insulin human regular (rDNA)', 'Insulin human, rDNA origin', 'Insulin recombinant human', 'Insulin recombinant purified human', 'Insulin regular', 'Insulin, human', 'Insulina regular', 'Neutral insulin', 'Regular Insulin, human', 'Soluble insulin']"
29,Tenecteplase,"['Tenecteplasa', 'Tenecteplase', 'TNK-tPA']"
30,Menotropins,"['Human menopausal gonadotrophin', 'Menotrophin', 'Menotropin', 'Menotropina', 'Menotropins (FSH;LH)']"
31,Interferon gamma-1b,"['IFN-gamma 1b', 'IFN-gamma-1b', 'Interferon gamma 1-b', 'Interferon gamma-1b', 'Interferon gamma-1b, recombinant', 'Interferon gamma-2a']"
32,Interferon alfa-2a,"['Interferon alfa-2a', 'Interferon alfa-2a (genetical recombination)', 'Interferon alfa-2a (recombinant)', 'Interferon alfa-2a, recombinant', 'Interferon alfa-2a,recombinant', 'Interferon alpha-2a', 'Interferon-alfa-2a', 'Recombinant human interferon alfa-2a', 'Recombinant human interferon-alfa-2a', 'rIFN-alpha-2a', 'SH-polypeptide-46']"
33,Desmopressin,"['1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin', '1-deamino-8-D-arginine vasopressin', '1-desamino-8-D-arginine vasopressin', 'dDAVP', 'Desmopresina', 'Desmopressin', 'Desmopressine', 'Desmopressinum']"
34,Coagulation factor VIIa Recombinant Human,"['Coagulation factor VIIa', 'Coagulation factor VIIa (recombinant)', 'Coagulation factor VIIa (recombinant)-jncw', 'Eptacog alfa', 'Eptacog alfa (activated)', 'rFVIIa']"
35,Oprelvekin,"['IL-11', 'Interleukin 11', 'Interleukin-11', 'Oprelvekin', 'Recombinant interleukin-11']"
36,Palifermin,"['24-163 fibroblast growth factor 7 (human)', 'Palifermin', 'Palifermina']"
37,Glucagon,"['Glucagon', 'Glucagon (recombinant dna origin)', 'Glucagon recombinant', 'Glucagon, human', 'Glucagon, porcine', 'Glucagone', 'Glucagonum']"
38,Aldesleukin,"['125-L-serine-2-133-interleukin 2 (human reduced)', 'Aldesleukin', 'Aldesleukina', 'ILT-101', 'ILT101', 'Interleukin-2 aldesleukin', 'Interleukin-2(2-133),125-ser', 'Recombinant human interleukin-2', 'Recombinant interleukin-2 human']"
39,Botulinum toxin type B,"['Botulin B', 'Botulinum antitoxin type B', 'Botulinum B toxin', 'Botulinum neurotoxin type B precursor', 'Botulinum toxin type B', 'BTX-B', 'RimabotulinumtoxinB', 'Toxina botulínica B']"
40,Omalizumab,['Omalizumab']
41,Lutropin alfa,"['Lutropin alfa', 'Lutropin alpha', 'Lutropina alfa']"
42,Lyme disease vaccine (recombinant OspA),"['Lipoprotein OspA antigen recombinant', 'Lipoprotein outer surface a borrelia burgdorferi antigen', 'OspA lipoprotein']"
43,Insulin lispro,"['Insulin lispro', 'Insulin lispro (genetical recombination)', 'Insulin lispro (rDNA origin)', 'Insulin lispro protamine', 'Insulin lispro protamine recombinant', 'Insulin lispro recombinant', 'insulin lispro-aabc', 'Insulin,lispro,human/rDNA', 'Insulin,lispro,protamine/rDNA', 'Insulina lispro']"
44,Insulin glargine,"['Insulin glargine', 'Insulin glargine (rDNA origin)', 'Insulin glargine recombinant', 'insulin glargine-yfgn', 'Insulina glargina']"
45,Collagenase clostridium histolyticum,"['Clostridiopeptidase A', 'Clostridium histolyticum enzymes', 'Collagenase', 'Collagenase clostridium histolyticum', 'collagenase clostridium histolyticum-aaes']"
46,Rasburicase,"['Rasburicasa', 'Rasburicase', 'Urate oxidase']"
47,Cetrorelix,"['Cetrorelix', 'Cetrorelixum']"
48,Adalimumab,"['Adalimumab', 'Adalimumab (genetical recombination)', 'adalimumab-adaz', 'adalimumab-adbm', 'adalimumab-afzb', 'adalimumab-atto', 'adalimumab-bwwd', 'adalimumab-fkjp']"
49,Somatotropin,"['Growth hormone', 'Growth hormone (human)', 'hGH', 'Human growth hormone', 'Recombinant human growth hormone', 'rhGH', 'Somatotropin (human)', 'Somatotropin human', 'Somatotropin human growth hormone', 'Somatropin', 'Somatropin (rDNA origin)', 'Somatropin (recombinant DNA origin)', 'Somatropin [rDNA origin]', 'Somatropin recombinant', 'Somatropin(recombinant DNA origin)', 'Somatropina']"
50,Imiglucerase,"['Imiglucerasa', 'Imiglucerase']"
51,Abciximab,"['Abciximab', 'Abciximab (genetical recombination)', 'c7E3']"
52,Drotrecogin alfa,"['Activated protein C', 'Blood coagulation factor XIV (human)', 'Drotrecogin alfa (activated)', 'Drotrecogin alfa (activated), lyophilized', 'Drotrecogin alfa activated', 'Drotrecogin alfa, activated', 'Drotrecogin-alfa', 'Recombinant human activated protein C (rH-APC)']"
53,Gemtuzumab ozogamicin,['Gemtuzumab ozogamicin']
54,Indium In-111 satumomab pendetide,"['Indium (111In) satumomab pendetide', 'Indium In 111 satumomab pendetide', 'Indium-111 satumomab pendetide']"
55,Alpha-1-proteinase inhibitor,"['Alfa 1-proteinase inhibitor (human)', 'Alfa-1-antitripsina', 'Alfa1 antitrypsin', 'Alpha 1-antitrypsin', 'Alpha 1-Proteinase Inhibitor', 'Alpha 1-proteinase inhibitor (human)', 'Alpha 1-proteinase inhibitor, human', 'Alpha-1 protease inhibitor', 'Alpha-1 proteinase inhibitor (human)', 'Alpha-1-antiproteinase', 'Alpha-1-antitrypsin', 'Alpha-1-proteinase Inhibitor (human)', 'Alpha-1-proteinase inhibitor human', 'Alpha-1-proteinase Inhibitor, Human', 'Alpha-1-proteinase inhibitor,human', 'Alpha1-proteinase Inhibitor', 'Alpha1-proteinase inhibitor (human)', 'alpha1-proteinase inhibitor human', 'API']"
56,Pegaspargase,"['Peg-asparaginase', 'Peg/L-asparaginase', 'Pegaspargasa', 'Pegaspargase']"
57,Interferon beta-1a,"['Interferon beta 1-a', 'Interferon beta 1a', 'Interferon beta-1a', 'Interferon beta-1a (recombinant human)', 'Interferon beta-1a,recombinant', 'Interferon-beta-1a', 'SNG001']"
58,Pegademase,"['(monomethoxypolyethylene glycol succinimidyl) 11-17-adenosine deaminase', 'PEG-adenosine deaminase', 'pegADA', 'Pegademase', 'Pegademase bovine']"
59,Albumin human,"['Albumin (human)', 'Albumin human', 'Albumin, blood', 'Albumin, human', 'Albumin, human-kjda', 'Human albumin', 'Human serum albumin', 'Serum albumin']"
60,Eptifibatide,"['Eptifibatida', 'Eptifibatide', 'Integrelin', 'Intrifiban']"
61,Infliximab,"['Infliximab', 'Infliximab (genetical recombination)', 'Infliximab-abda', 'Infliximab-axxq', 'Infliximab-dyyb', 'Infliximab-qbtx']"
62,Follitropin,"['Folitropina alfa', 'Folitropina beta', 'Folitropina delta', 'Follicle stimulating hormone', 'Follitrophin alfa', 'Follitrophin alpha', 'Follitrophin beta', 'Follitropin alfa', 'Follitropin alfa/beta', 'Follitropin alpha', 'Follitropin beta', 'Follitropin delta', 'Follitropin gamma', 'Follotropin recombinant', 'FSH', 'FSH alpha', 'FSH-a', 'FSH-b', 'FSH-beta', 'Recombinant human follicle stimulating hormone beta', 'Recombinant human follicle-stimulating hormone (r-HFSH)', 'rFSH-alpha']"
63,Vasopressin,"['Vasopressin, unspecified', 'Vasopressina']"
64,Interferon beta-1b,"['Interferon beta 1b (recombinant)', 'Interferon beta-1b', 'Interferon beta-1b,recombinant', 'Interferon-beta-1b', 'Recombinant interferon beta-1b']"
65,Interferon alfacon-1,"['IFN Alfacon-1', 'IFN-Con1', 'Interferon alfacon-1']"
66,Hyaluronidase (ovine),"['Hyaluronidase (glycoprotein, sheep testis isoenzyme)', 'Hyaluronidase (ovine)', 'Hyaluronidase (sheep testis isoenzyme)', 'Hyaluronidase, ovine', 'Ovine hyaluronidase']"
67,Insulin pork,"['Insulin (pork)', 'Insulin porcine', 'Insulin purified porcine', 'Insulin purified pork', 'Insulin, porcine', 'Insulin, regular, pork', 'Porcine insulin']"
68,Trastuzumab,"['RHUMAB HER2', 'Trastuzumab', 'trastuzumab-anns', 'trastuzumab-dkst', 'trastuzumab-dttb', 'trastuzumab-pkrb', 'trastuzumab-qyyp']"
69,Rituximab,"['Rituximab', 'rituximab-abbs', 'rituximab-arrx', 'rituximab-pvvr']"
70,Basiliximab,['Basiliximab']
71,Muromonab,"['Anti-CD3', 'Muromonab-CD3']"
72,Digoxin Immune Fab (Ovine),"['Digitalis antitoxin', 'Digoxin Immune Fab, Ovine', 'Digoxin-specific Antibody Fragments', 'Ovine digoxin immune fab']"
73,Ibritumomab tiuxetan,"['Ibritumomab', 'Ibritumomab tiuxetan', 'mAb Murine (IGG1) Anti P19437 (CD20_MOUSE)']"
74,Daptomycin,"['Daptomicina', 'Daptomycin', 'Daptomycine', 'Daptomycinum']"
75,Tositumomab,['Tositumomab']
76,Pegvisomant,['Pegvisomant']
77,Botulinum toxin type A,"['AbobotulinumtoxinA', 'Botulinum A neurotoxin', 'Botulinum antitoxin type A', 'Botulinum toxin A', 'Botulinum toxin type A', 'BTX-A', 'EvabotulinumtoxinA', 'IncobotulinumtoxinA', 'OnabotulinumtoxinA', 'Prabotulinumtoxin A', 'Toxina botulínica A', 'Toxine botulinique A']"
78,Pancrelipase,"['Pancrealipase', 'Pancreatic extract pancrelipase', 'Pancreatic protease', 'Pancreatin', 'Pancreatinum', 'Pancrelipase', 'Pancrelipase (amylase;lipase;protease)']"
79,Streptokinase,"['Estreptoquinasa', 'Streptochinasi', 'Streptococcal fibrinolysin', 'Streptokinase', 'Streptokinasum']"
80,Alemtuzumab,['Alemtuzumab']
81,Alglucerase,['Alglucerase']
82,Capromab pendetide,"['(111In)-Capromab pendetide', 'Capromab pendetide', 'Indium (111In) capromab pendetide', 'Indium 111 Capromab Pendetide', 'Indium In 111 capromab pendetide']"
83,Laronidase,"['alpha-L-Idosiduronase', 'Human Recombinant alpha-L-iduronidase', 'Laronidasa', 'Laronidase', 'Laronidase (genetical recombination)']"
84,Cyclosporine,"['Ciclosporin', 'Ciclosporina', 'Ciclosporine', 'Ciclosporinum', 'CsA', 'CyA', 'Cyclosporin', 'Cyclosporin A', 'Cyclosporine']"
85,Alefacept,['Alefacept']
86,Felypressin,"['2-(L-phenylalanine)-8-L-lysinevasopressin', 'Felipresina', 'Felypressin', 'Felypressine', 'Felypressinum', 'PLV-2']"
87,Urofollitropin,"['Follitropin human', 'Urofollitrophin', 'Urofollitropin']"
88,Efalizumab,"['anti-CD11a', 'antiCD11 alpha', 'Efalizumab']"
89,Choriogonadotropin alfa,"['Choriogonadotropin alfa', 'Choriogonadotropin alpha', 'Chorionic gonadotropin (recombinant)']"
90,Antithymocyte immunoglobulin (rabbit),"['Anti-human thymocyte immunoglobulin, rabbit', 'Anti-T-lymphocyte immune globulin, rabbit', 'Anti-thymocyte globulin (rabbit)', 'Anti-thymocyte globulin rabbit', 'Antithymocyte immunoglobulin', 'Lapine T-lymphocyte immune globulin', 'Rabbit anti-human thymocyte globulin', 'Rabbit anti-human thymocyte globulin (rATG)', 'Rabbit anti-human thymocyte immunoglobulin', 'Rabbit anti-thymocyte immunoglobulin', 'Rabbit antithymocyte globulin', 'Rabbit ATG', 'rATG', 'Thymoglobulin', 'Thymoglobuline']"
91,Filgrastim,"['Filgrastim', 'Filgrastim-aafi', 'Filgrastim-sndz', 'G-CSF ', 'Granulocyte Colony Stimulating Factor ', 'Tbo-filgrastim']"
92,Coagulation Factor IX (Recombinant),"['Coagulation factor IX (recombinant)', 'Coagulation factor IX recombinant human', 'Coagulation factor IX, recombinant', 'Factor IX (Recombinant)', 'nonacog alfa', 'nonacog gamma', 'Recombinant factor IX']"
93,Becaplermin,"['Becaplermin', 'PDGF-2', 'PDGF-BB', 'PDGFB', 'Platelet-derived growth factor BB, recombinant', 'Platelet-derived growth factor beta polypeptide', 'Recombinant platelet-derived growth factor BB', 'rhPDGF-BB', 'rPDGF-BB', 'SH-POLYPEPTIDE-59']"
94,Agalsidase beta,"['Agalsidasa beta', 'Agalsidase beta', 'Agalsidase beta (genetical recombination)']"
95,Octreotide,"['Octreotida', 'Octreotide', 'Octreotidum', 'Octrotide']"
96,Interferon alfa-2b,"['Interferon alfa-2b', 'Interferon alfa-2b, recombinant', 'Interferon alpha-2B', 'Interferon α-2b', 'Intron (Interferon α2b)', 'Intron A', 'Intron A (Interferon α2b)', 'r-INF-alpha', 'rIFN-alpha-2b']"
97,Abarelix,['Abarelix']
98,Oxytocin,"['Oxitocina', 'Oxytocin']"
99,Natalizumab,"['Anti-alpha4 integrin', 'Anti-VLA4', 'Natalizumab']"
100,Enfuvirtide,"['Enfuvirtida', 'Enfuvirtide']"
101,Palivizumab,['Palivizumab']
102,Daclizumab,"['Dacliximab', 'Daclizumab', 'Daclizumab beta']"
103,Bevacizumab,"['Anti-VEGF Humanized Monoclonal Antibody', 'Anti-VEGF monoclonal antibody', 'Bevacizumab', 'bevacizumab-awwb', 'rhuMAb-VEGF']"
104,Technetium Tc-99m arcitumomab,"['Arcitumomab technetium-99m', 'Technetium (99mTc) arcitumomab', 'Technetium Tc 99m arcitumomab', 'Technetium-99m arcitumomab']"
105,Pyridoxal phosphate,"['3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde', '3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate', 'Codecarboxylase', 'PLP', 'Pyridoxal 5-monophosphoric acid ester', 'Pyridoxal 5-phosphate', ""Pyridoxal 5'-phosphate"", 'Pyridoxal P', 'Pyridoxal phosphate anhydrous', 'Pyridoxal-5P', 'Pyridoxal-P']"
106,Cyanocobalamin,"['Cianocobalamina', 'Cyanocob(III)alamin', 'Cyanocobalamin', 'Cyanocobalamine', 'Cyanocobalaminum', 'Vitamin B12', 'Vitamin B12 complex', 'Vitamin B12 NOS']"
107,Tetrahydrofolic acid,"['5,6,7,8-tetrahydrofolate', '5,6,7,8-tetrahydrofolic acid', 'Tetrahydrofolate']"
108,Histidine,"['(S)-4-(2-Amino-2-carboxyethyl)imidazole', '(S)-a-Amino-1H-imidazole-4-propanoic acid', '(S)-alpha-amino-1H-Imidazole-4-propanoic acid', '(S)-alpha-Amino-1H-imidazole-4-propionic acid', '(S)-α-amino-1H-Imidazole-4-propanoic acid', 'HIS', 'Histidina', 'Histidine', 'L-(−)-histidine', 'L-Histidin', 'L-Histidine']"
109,Ademetionine,"['Ademetionine', 'AdoMet', 'L-S-Adenosylmethionine', 'S-Adenosylmethionine', 'SAM', 'SAM-e', 'SAMe']"
110,Pyruvic acid,"['2-ketopropionic acid', '2-oxopropanoic acid', '2-Oxopropansäure', '2-Oxopropionsäure', 'a-Ketopropionic acid', 'Acetylformic acid', 'acide pyruvique', 'alpha-ketopropionic acid', 'Brenztraubensäure', 'BTS', 'Pyroracemic acid', 'α-ketopropionic acid', 'α-Oxopropionsäure']"
111,Phenylalanine,"['(S)-2-Amino-3-phenylpropionic acid', '(S)-alpha-Amino-beta-phenylpropionic acid', '3-phenyl-L-alanine', 'beta-Phenyl-L-alanine', 'F', 'Fenilalanina', 'L-Phenylalanine', 'Phe', 'Phenylalanine', 'Phenylalaninum', 'β-phenyl-L-alanine']"
112,Biotin,"['(+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valeric acid', '(3aS,4S,6aR)-Hexahydro-2-oxo-1H-thieno[3,4-d]imidazole-4-valeric acid', '5-(2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid', 'Biotin', 'Biotina', 'Biotine', 'Biotinum', 'cis-(+)-Tetrahydro-2-oxothieno[3,4]imidazoline-4-valeric acid', 'cis-Hexahydro-2-oxo-1H-thieno(3,4)imidazole-4-valeric acid', 'cis-Tetrahydro-2-oxothieno(3,4-d)imidazoline-4-valeric acid', 'Coenzyme R', 'D-(+)-biotin', 'D-Biotin', 'Vitamin B7', 'Vitamin H']"
113,Choline,"['Bilineurine', 'Choline ion', 'N-trimethylethanolamine', 'N,N,N-trimethylethanol-ammonium', 'trimethylethanolamine', 'Vitamin J']"
114,Lysine,"['(S)-2,6-diaminohexanoic acid', '(S)-lysine', '(S)-α,ε-diaminocaproic acid', '6-ammonio-L-norleucine', 'L-2,6-Diaminocaproic acid', 'L-lys', 'L-Lysin', 'L-Lysine', 'LYS', 'Lysina', 'Lysine', 'Lysine acid', 'Lysinum']"
115,Arginine,"['(2S)-2-amino-5-(carbamimidamido)pentanoic acid', '(2S)-2-amino-5-guanidinopentanoic acid', '(S)-2-amino-5-guanidinopentanoic acid', '(S)-2-Amino-5-guanidinovaleric acid', 'Arg', 'Arginina', 'Arginine', 'L-(+)-Arginine', 'L-Arg', 'L-Arginin', 'L-arginine', 'R']"
116,Ascorbic acid,"['acide ascorbique', 'ácido ascórbico', 'Acidum ascorbicum', 'acidum ascorbinicum', 'Ascorbate', 'Ascorbic acid', 'Ascorbinsäure', 'L-(+)-ascorbic acid', 'L-Ascorbate', 'L-Ascorbic Acid', 'Vitamin C', 'Vitamina C']"
117,Spermine,"['4,9-diaza-1,12-dodecanediamine', '4,9-diazadodecane-1,12-diamine', 'Musculamine', ""N,N'-Bis(3-aminopropyl)-1,4-butanediamine"", 'Spermina', 'Spermine']"
118,Aspartic acid,"['(S)-2-aminobutanedioic acid', '(S)-2-aminosuccinic acid', '2-Aminosuccinic acid', 'ácido aspártico', 'Acidum asparticum', 'Asp', 'Aspartic acid', 'D', 'L-Asp', 'L-Asparaginsäure', 'L-Aspartate', 'L-Aspartic acid']"
119,Ornithine,"['(S)-2,5-Diaminopentanoate', '(S)-2,5-Diaminopentanoic acid', '(S)-2,5-diaminovaleric acid', '(S)-ornithine', '(S)-α,δ-diaminovaleric acid', 'L-Ornithine', 'levo-ornithine', 'Ornithine', 'Ornithinum', 'Ornitina']"
120,L-Glutamine,"['(2S)-2-amino-4-carbamoylbutanoic acid', '(2S)-2,5-diamino-5-oxopentanoic acid', '(S)-2,5-diamino-5-oxopentanoic acid', 'Glutamic acid 5-amide', 'Glutamic acid amide', 'Glutamina', 'Glutamine', 'L-(+)-glutamine', 'L-2-aminoglutaramic acid', 'L-glutamic acid γ-amide', 'L-Glutamin', 'L-Glutamine', 'L-Glutaminsäure-5-amid', 'Levoglutamide', 'Q']"
121,Adenosine phosphate,"[""5'-Adenosine monophosphate"", ""5'-Adenylic acid"", ""5'-AMP"", ""5'-O-Phosphonoadenosine"", ""Adenosine 5'-(dihydrogen phosphate)"", ""Adenosine 5'-monophosphate"", ""Adenosine 5'-phosphate"", 'Adenosine monophosphate', 'Adenosine phosphate', ""Adenosine-5'-Monophosphate"", ""Adenosine-5'-monophosphoric acid"", ""Adenosine-5'P"", 'Adenosini phosphas', 'Adenylate', 'Adenylic acid', ""Ado5'P"", 'AMP', 'Fosfato de adenosina', 'PAdo', ""Phosphate d'adénosine""]"
122,alpha-Linolenic acid,"['(9,12,15)-linolenic acid', '(9Z,12Z,15Z)-Octadecatrienoic acid', '(Z,Z,Z)-9,12,15-octadecatrienoic acid', '9-cis,12-cis,15-cis-octadecatrienoic acid', '9,12,15-Octadecatrienoic acid', 'ALA', 'all-cis-9,12,15-Octadecatrienoic acid', 'alpha-Linolenic acid', 'cis-delta(9,12,15)-Octadecatrienoic acid', 'cis,cis,cis-9,12,15-Octadecatrienoic acid', 'Linolenic acid', 'α-linolenic acid']"
123,Serine,"['(S)-2-Amino-3-hydroxypropanoic acid', '(S)-Serine', 'alpha-Amino-beta-hydroxypropionic acid', 'beta-Hydroxyalanine', 'L-Serine', 'Ser', 'Serina', 'Serine', 'Serinum']"
124,Methionine,"['(2S)-2-amino-4-(methylsulfanyl)butanoic acid', '(S)-2-amino-4-(methylthio)butanoic acid', '(S)-2-amino-4-(methylthio)butyric acid', '(S)-methionine', 'L-(−)-methionine', 'L-a-Amino-g-methylthiobutyric acid', 'L-Methionin', 'L-Methionine', 'L-α-amino-γ-methylmercaptobutyric acid', 'M', 'Met', 'Methionine']"
125,Tyrosine,"['(−)-α-amino-p-hydroxyhydrocinnamic acid', '(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid', '(S)-(-)-Tyrosine', '(S)-2-Amino-3-(p-hydroxyphenyl)propionic acid', '(S)-3-(p-Hydroxyphenyl)alanine', '(S)-alpha-amino-4-Hydroxybenzenepropanoic acid', '(S)-Tyrosine', '(S)-α-amino-4-hydroxybenzenepropanoic acid', '4-hydroxy-L-phenylalanine', 'L-Tyrosin', 'L-tyrosine', 'Tirosina', 'Tyr', 'Tyrosine', 'Tyrosinum', 'Y']"
126,Calcitriol,"['(1S,3R,5Z,7E)-9,10-secocholesta-5,7,10-triene-1,3,25-triol', '(1α,3β,5Z,7E)-9,10-secocholesta-5,7,10(19)-triene-1,3,25-triol', '(5Z,7E)-(1S,3R)-9,10-secocholesta-5,7,10(19)-triene-1,3,25-triol', '1-alpha-25-Dihydroxyvitamin D3', '1,25-DHCC', '1,25-dihydroxycholecalciferol', '1α,25-dihydroxycholecalciferol', '1α,25-dihydroxyvitamin D3', '1α,25(OH)2D3', 'Calcitriol', 'Calcitriolum']"
127,Lutein,"['Xanthophyll', 'Xantofyl']"
128,Cystine,"[""(R,R)-3,3'-dithiobis(2-aminopropanoic acid)"", 'Cistina', 'Cystine', 'L-alpha-Diamino-beta-dithiolactic acid', 'L-Cystine', 'L-Dicysteine', ""β,β'-dithiodialanine""]"
129,Succinic acid,"['1,2-ethanedicarboxylic acid', 'Acide butanedioïque', 'Acide succinique', 'Acidum succinicum', 'Amber acid', 'Asuccin', 'Bernsteinsäure', 'Butandisäure', 'Butanedioic acid', 'Butanedionic acid', 'Dihydrofumaric acid', 'Ethylenesuccinic acid', 'Spirit of amber', 'Succinic acid']"
130,Riboflavin,"['1-Deoxy-1-(7,8-dimethyl-2,4-dioxo-3,4-dihydrobenzo[g]pteridin-10(2H)-yl)pentitol', '6,7-Dimethyl-9-D-ribitylisoalloxazine', '7,8-Dimethyl-10-(D-ribo-2,3,4,5-tetrahydroxypentyl)isoalloxazine', '7,8-Dimethyl-10-ribitylisoalloxazine', 'Lactoflavin', 'Lactoflavine', 'Riboflavin', 'Riboflavina', 'Riboflavine', 'Riboflavinum', 'Vitamin B2', 'Vitamin Bi', 'Vitamin G']"
131,N-Acetylglucosamine,"['2-Acetamido-2-deoxy-D-glucose', 'aldehydo-N-acetyl-D-glucosamine', 'D-GlcNAc', 'N-Acetyl-D-glucosamine', 'N-Acetylchitosamine']"
